user,item,correct
43998,179,1.0
91915,235,1.0
40087,6,1.0
51940,116,1.0
21539,7,1.0
29130,2,1.0
11289,412,1.0
73647,58,1.0
22406,4,1.0
55034,7,1.0
69551,93,0.0
65685,33,1.0
46638,240,0.0
17361,22,0.0
30959,12,1.0
91032,6,1.0
82232,126,1.0
32088,296,1.0
59092,6,1.0
31756,175,1.0
71421,11,1.0
199,72,1.0
62037,208,1.0
94409,18,0.0
43833,136,1.0
55297,72,1.0
88430,108,1.0
90370,88,1.0
13243,16,1.0
66186,34,0.0
98598,111,1.0
66501,73,1.0
20975,94,1.0
46097,136,1.0
14046,412,1.0
8179,1,1.0
83678,127,0.0
67891,7,1.0
36972,96,1.0
21462,199,0.0
68846,331,1.0
91447,10,1.0
80055,111,1.0
40716,4,1.0
58117,145,1.0
51719,94,0.0
98989,72,1.0
17548,203,1.0
22050,43,1.0
52807,104,1.0
56450,12,1.0
12076,23,0.0
32444,1,1.0
61258,232,1.0
91208,122,1.0
47811,34,1.0
40056,294,0.0
99254,11,1.0
16775,202,1.0
28662,83,0.0
47486,75,1.0
65835,10,0.0
49154,156,1.0
9062,245,1.0
90045,291,1.0
11051,76,0.0
56488,211,1.0
29473,8,0.0
38741,104,0.0
48630,115,1.0
51265,7,1.0
7903,82,1.0
62746,237,1.0
59086,614,1.0
69230,215,1.0
62642,12,0.0
49071,360,1.0
2695,90,1.0
81199,207,1.0
20564,125,1.0
14817,478,1.0
72594,56,1.0
5796,204,0.0
8617,60,0.0
40893,18,1.0
47191,5,1.0
86179,1,1.0
19223,4,1.0
72321,15,0.0
83576,3,1.0
91150,2,1.0
80125,22,1.0
53,5,1.0
37853,73,1.0
37859,7,1.0
79838,3,1.0
29806,121,1.0
68010,7,1.0
20275,59,1.0
44753,15,1.0
12108,2,1.0
69240,73,1.0
20484,76,1.0
74414,271,1.0
3167,20,1.0
57106,56,1.0
13767,73,1.0
6735,12,0.0
24491,99,1.0
3489,6,1.0
9603,156,1.0
43299,366,1.0
91927,356,0.0
71929,12,0.0
92422,12,1.0
87106,155,1.0
10273,35,1.0
53676,111,1.0
21663,108,1.0
82373,76,1.0
48806,304,1.0
30088,12,1.0
15054,288,1.0
86251,635,1.0
2354,115,1.0
79418,81,1.0
37794,20,1.0
11800,45,0.0
86109,12,1.0
29819,215,1.0
24153,208,1.0
41950,180,0.0
96539,76,1.0
54690,81,1.0
57562,536,0.0
95271,111,1.0
71884,199,0.0
1691,105,1.0
28366,156,1.0
96964,301,1.0
90178,230,1.0
95497,73,1.0
49427,75,1.0
39048,293,0.0
23085,3,1.0
76784,75,1.0
2772,84,1.0
62906,21,0.0
99542,209,1.0
82531,308,1.0
79237,278,1.0
53789,344,0.0
4991,97,1.0
21952,56,1.0
76681,230,1.0
60074,111,1.0
29530,10,1.0
16061,11,1.0
87632,113,1.0
25423,22,0.0
2237,32,1.0
54440,72,1.0
89977,72,1.0
89909,18,1.0
3361,18,1.0
14250,31,0.0
23970,210,1.0
617,23,1.0
26069,22,0.0
43677,113,1.0
51834,35,1.0
68670,99,1.0
2271,4,1.0
36545,100,0.0
19127,202,1.0
77148,35,0.0
36579,5,1.0
18112,209,1.0
60415,56,1.0
49701,156,1.0
48837,200,1.0
74336,129,1.0
27577,261,1.0
89760,78,0.0
25531,56,1.0
92864,175,1.0
74041,432,1.0
82429,155,0.0
85206,18,1.0
68024,238,1.0
45231,97,0.0
78202,115,1.0
39043,177,1.0
27470,7,1.0
2993,36,1.0
75128,94,0.0
1231,135,1.0
70598,215,0.0
56892,207,1.0
25654,199,0.0
90576,89,1.0
63871,6,1.0
91518,156,0.0
83359,236,1.0
53154,33,1.0
73154,156,1.0
30232,179,1.0
81476,210,0.0
85101,126,1.0
85093,60,1.0
17094,156,1.0
60279,267,0.0
50424,115,0.0
23724,249,0.0
67663,56,1.0
55133,4,1.0
76954,209,0.0
56171,175,1.0
98831,103,1.0
6685,135,1.0
9166,39,0.0
46514,3,1.0
15781,89,1.0
54897,4,1.0
81082,236,0.0
34953,321,1.0
59882,155,1.0
84728,200,1.0
96743,209,0.0
23310,16,1.0
76408,247,1.0
73189,20,0.0
78172,154,1.0
69846,18,0.0
92795,159,1.0
62795,194,0.0
56518,8,1.0
88685,0,1.0
87034,131,0.0
51375,88,1.0
34131,96,0.0
4321,57,1.0
94586,56,1.0
47001,75,1.0
95299,4,1.0
26332,164,1.0
15761,73,1.0
36965,6,1.0
4585,72,1.0
13413,101,1.0
79746,22,1.0
93273,75,1.0
47066,75,1.0
51399,251,0.0
55719,132,0.0
56403,364,1.0
86130,257,0.0
75507,10,1.0
45191,131,1.0
46134,72,1.0
34632,59,0.0
86683,497,1.0
46541,19,1.0
38422,12,0.0
64132,371,0.0
8555,135,0.0
34913,344,0.0
53229,75,1.0
42036,236,1.0
7086,81,1.0
24015,282,1.0
66508,8,0.0
83850,5,1.0
65775,226,0.0
79676,7,1.0
80606,2,1.0
99800,131,1.0
54739,114,1.0
10757,32,1.0
54252,361,1.0
98858,6,1.0
80664,5,0.0
60294,173,0.0
14013,131,1.0
71781,33,1.0
18389,208,1.0
76368,165,1.0
60595,21,1.0
71730,208,1.0
35977,132,1.0
54460,74,1.0
85197,156,1.0
70205,79,1.0
19336,18,1.0
5882,122,0.0
66769,172,0.0
44283,4,1.0
50233,22,0.0
73932,8,0.0
28142,79,0.0
32293,188,1.0
63114,8,1.0
49839,210,1.0
47086,31,0.0
63865,10,0.0
15880,35,1.0
17023,210,1.0
5713,35,1.0
64114,10,1.0
10605,349,1.0
72524,372,1.0
22360,223,1.0
73958,27,1.0
7821,72,1.0
29575,102,1.0
22517,163,1.0
90546,7,1.0
27493,158,1.0
307,156,1.0
73853,4,1.0
3699,93,0.0
44721,130,1.0
20583,56,1.0
67007,156,0.0
17287,5,1.0
30992,122,1.0
60201,258,0.0
72416,2,1.0
41492,156,1.0
79488,416,1.0
35054,232,0.0
68971,8,0.0
49883,99,1.0
62515,131,1.0
34715,136,1.0
43372,81,1.0
27872,59,1.0
39625,35,1.0
72022,75,1.0
3501,23,0.0
15864,7,1.0
36119,356,1.0
82955,108,1.0
34871,170,0.0
85087,73,1.0
81682,267,1.0
57174,160,1.0
59107,232,1.0
70495,2,1.0
32613,109,1.0
67598,432,1.0
60959,229,0.0
89635,199,1.0
67035,4,1.0
10873,7,1.0
44983,3,1.0
57242,202,1.0
36263,156,1.0
27236,34,0.0
1659,205,1.0
54614,11,1.0
64944,248,0.0
52898,31,1.0
92697,356,1.0
99471,702,1.0
89219,49,1.0
37096,215,1.0
29536,98,1.0
26747,4,1.0
80865,156,0.0
60497,215,1.0
3676,199,0.0
66897,421,0.0
10863,111,1.0
69971,72,1.0
43125,12,1.0
55700,1,1.0
93253,72,1.0
28497,4,1.0
54767,101,1.0
20433,35,0.0
63699,12,1.0
77159,56,1.0
8259,127,0.0
74898,421,0.0
10599,18,1.0
37493,299,1.0
23276,35,1.0
12037,87,0.0
87826,308,1.0
5870,29,0.0
38568,60,1.0
43312,179,0.0
10423,7,1.0
32700,320,0.0
92246,380,0.0
70077,25,1.0
76610,613,1.0
69378,74,1.0
19609,200,1.0
5294,40,1.0
7204,75,1.0
15902,24,0.0
36601,8,1.0
98556,215,1.0
30660,72,1.0
11132,21,1.0
8652,156,1.0
82073,2,1.0
28358,4,1.0
91596,202,1.0
81933,158,0.0
97771,35,1.0
34721,18,1.0
9633,67,0.0
53688,305,0.0
42996,247,1.0
70056,15,0.0
281,11,1.0
9290,191,0.0
36840,89,1.0
74349,248,1.0
41575,24,1.0
12007,127,1.0
71289,247,1.0
59441,11,1.0
37144,76,0.0
88199,4,1.0
434,7,1.0
58454,4,1.0
15532,145,1.0
43877,129,1.0
57158,339,0.0
27191,56,1.0
13729,7,1.0
36210,12,0.0
42917,34,1.0
39775,243,1.0
35903,279,1.0
99353,5,1.0
54148,206,1.0
64129,862,0.0
29462,3,1.0
78784,3,1.0
53187,244,1.0
6710,244,0.0
71333,74,1.0
87924,35,1.0
16363,2,1.0
32121,56,1.0
39814,145,0.0
30595,99,1.0
3974,2,1.0
33819,58,1.0
7436,52,1.0
30734,155,1.0
40274,22,0.0
23300,7,1.0
26862,178,1.0
79840,105,1.0
69942,116,1.0
20357,72,1.0
62879,72,1.0
45479,74,1.0
18845,2,1.0
89140,81,1.0
2436,56,1.0
82320,157,0.0
97392,3,1.0
328,60,0.0
28806,131,1.0
42987,72,1.0
16539,375,1.0
68637,6,1.0
45367,82,1.0
57174,215,1.0
73440,103,1.0
38396,204,1.0
87097,258,1.0
70995,156,0.0
563,114,1.0
74945,11,1.0
15098,11,1.0
45283,335,0.0
46833,156,0.0
4961,7,1.0
65643,257,0.0
211,231,1.0
97318,56,1.0
62384,7,1.0
59953,3,1.0
55950,35,1.0
33775,245,1.0
26964,40,1.0
47177,103,1.0
93149,431,1.0
38440,12,0.0
74250,416,1.0
66948,429,1.0
10697,158,1.0
20982,11,1.0
87632,4,1.0
66224,267,0.0
44707,180,1.0
77425,215,1.0
61508,3,1.0
94400,72,1.0
80743,299,1.0
68700,351,1.0
10470,1,1.0
56604,75,1.0
8687,179,1.0
66361,344,1.0
25318,74,1.0
50836,156,0.0
94224,203,1.0
17196,257,1.0
38847,105,1.0
76402,164,0.0
42270,39,1.0
62073,74,1.0
47774,18,1.0
4800,162,1.0
84112,227,0.0
13767,60,0.0
19827,8,0.0
94698,5,1.0
8217,181,1.0
24643,179,1.0
56941,35,1.0
66715,126,1.0
63045,112,1.0
70367,205,1.0
83421,386,1.0
11901,15,1.0
37965,22,0.0
1228,235,0.0
61106,72,1.0
65362,229,1.0
75955,279,1.0
18906,104,1.0
43515,198,0.0
1942,156,0.0
79458,72,1.0
68266,75,1.0
25789,81,1.0
16926,89,1.0
92314,88,1.0
45402,101,1.0
50580,94,0.0
73448,2,1.0
3480,57,1.0
3684,208,1.0
16763,21,1.0
50231,248,1.0
22713,204,1.0
1704,24,1.0
89577,3,1.0
44533,211,0.0
43269,22,0.0
26209,172,1.0
24143,373,0.0
71217,176,0.0
15394,35,1.0
48607,163,0.0
56307,8,0.0
40113,206,1.0
82835,75,1.0
41859,102,1.0
74322,114,1.0
85177,75,1.0
50732,3,1.0
71981,72,1.0
2196,7,1.0
16875,80,0.0
70938,11,0.0
31139,89,1.0
39917,178,0.0
22076,167,1.0
34907,4,1.0
60830,208,1.0
47471,5,1.0
23998,35,1.0
18179,210,1.0
2078,20,1.0
96304,1033,1.0
27752,155,1.0
41798,60,0.0
78131,101,1.0
40329,4,1.0
9967,200,1.0
7911,15,1.0
54669,247,0.0
30551,24,0.0
9163,6,1.0
1585,322,1.0
44125,246,0.0
42223,4,1.0
80101,94,0.0
38064,35,1.0
76451,232,1.0
64681,160,1.0
95115,430,0.0
96231,73,1.0
71782,76,0.0
84963,75,1.0
75869,82,1.0
98579,116,1.0
28641,257,0.0
58067,18,0.0
38711,12,1.0
11058,230,1.0
89879,37,1.0
87068,230,0.0
9067,1,1.0
15311,30,1.0
80907,8,1.0
47099,112,1.0
5183,286,1.0
49069,9,0.0
66639,244,0.0
71953,210,1.0
84866,56,1.0
87731,2,1.0
85804,56,1.0
10065,72,1.0
98320,20,1.0
32000,56,1.0
70757,321,0.0
54153,96,0.0
66063,21,1.0
7951,223,1.0
78547,18,1.0
64810,267,1.0
46835,90,1.0
84128,14,0.0
64534,59,0.0
93890,232,1.0
45178,229,1.0
84190,12,1.0
47210,118,1.0
67649,35,1.0
29615,11,1.0
85712,32,1.0
4126,35,1.0
25306,206,1.0
35051,101,1.0
22728,199,1.0
29663,3,1.0
59868,2,1.0
77390,208,1.0
31306,12,0.0
82413,1,1.0
12768,61,1.0
26018,47,0.0
57318,20,1.0
41516,23,1.0
20877,98,1.0
83191,344,0.0
84984,280,1.0
93825,179,1.0
28433,11,1.0
67624,29,0.0
48803,272,0.0
2449,160,1.0
90978,6,1.0
51499,160,1.0
29705,162,1.0
43882,142,1.0
363,179,1.0
82060,206,1.0
28374,103,0.0
63228,156,0.0
60964,291,1.0
21709,94,0.0
9849,3,1.0
59443,373,1.0
21618,81,1.0
37003,200,0.0
50319,160,1.0
61841,12,0.0
45104,76,1.0
10764,174,1.0
74024,20,0.0
10775,27,1.0
65527,210,1.0
33633,89,1.0
63828,536,0.0
63682,32,1.0
72578,3,1.0
945,89,1.0
75839,115,1.0
22886,27,1.0
99660,1017,1.0
66144,111,1.0
41380,99,0.0
36859,75,1.0
32009,75,1.0
37863,7,1.0
72911,60,0.0
51161,4,1.0
83934,79,0.0
96247,20,1.0
47503,279,1.0
66542,6,1.0
36258,6,1.0
55470,256,1.0
7323,199,0.0
63009,155,1.0
10079,302,1.0
96463,278,1.0
40662,7,1.0
22356,121,1.0
83660,35,1.0
16284,35,1.0
59980,304,0.0
9598,135,1.0
9211,99,1.0
37532,78,1.0
33940,56,1.0
88687,39,1.0
92095,4,1.0
86546,72,1.0
22440,211,1.0
4718,18,0.0
77312,174,1.0
767,80,1.0
27140,199,1.0
99833,156,0.0
34160,1,1.0
14008,299,1.0
3660,164,0.0
23033,199,1.0
63824,116,1.0
30205,81,1.0
72877,4,1.0
31306,1,1.0
18610,75,1.0
45232,18,0.0
87837,4,1.0
34785,37,1.0
44227,59,0.0
16940,1,1.0
43539,84,0.0
95750,230,0.0
51676,530,1.0
29130,4,1.0
47879,72,1.0
76216,178,0.0
61604,3,1.0
97024,11,1.0
7147,261,0.0
24736,722,1.0
88807,247,0.0
63539,156,0.0
28916,33,1.0
38154,376,1.0
79925,344,0.0
98463,6,1.0
96266,321,1.0
61741,156,0.0
42672,3,1.0
52816,6,1.0
96990,160,1.0
12283,305,1.0
8633,52,1.0
90409,82,1.0
76129,199,0.0
35187,295,1.0
38180,193,1.0
94072,114,1.0
65538,298,1.0
39891,104,1.0
2783,16,1.0
87278,832,1.0
27545,17,1.0
7234,4,1.0
22858,72,1.0
71768,4,1.0
64450,113,1.0
6976,7,1.0
94437,109,0.0
46202,435,1.0
82832,98,0.0
73129,306,1.0
89648,234,0.0
4982,96,1.0
52396,115,1.0
67001,232,1.0
24415,105,1.0
5156,298,1.0
32991,185,0.0
52278,78,1.0
9743,111,1.0
43072,22,0.0
1864,31,1.0
53024,156,0.0
59435,76,1.0
47946,20,0.0
60548,24,1.0
12502,29,1.0
79285,18,0.0
74451,135,0.0
95155,6,1.0
51448,2,1.0
22017,3,1.0
97334,223,1.0
20801,357,0.0
5016,87,0.0
66082,20,1.0
72780,112,1.0
6153,296,1.0
11649,35,1.0
85665,79,1.0
12841,24,0.0
66210,2,1.0
86457,19,1.0
96123,5,1.0
8284,16,1.0
72505,21,0.0
48374,24,0.0
59604,361,0.0
95339,76,1.0
56182,35,1.0
38869,4,1.0
60741,18,0.0
67574,111,1.0
7042,99,1.0
63,35,1.0
69884,9,0.0
21572,12,0.0
83061,40,1.0
79893,160,1.0
88598,205,1.0
27262,99,1.0
78055,230,1.0
45235,156,0.0
78212,22,0.0
83192,205,1.0
68358,99,1.0
62441,7,1.0
36958,35,1.0
3733,18,0.0
73473,414,1.0
90865,299,1.0
26541,18,0.0
7119,126,1.0
35459,344,1.0
81595,60,0.0
59415,373,1.0
89143,202,1.0
46461,56,1.0
77416,34,1.0
78,21,0.0
20717,4,1.0
1183,131,0.0
10787,101,1.0
65593,164,0.0
20359,11,1.0
1988,39,0.0
14291,299,0.0
18725,114,1.0
71249,1,1.0
77819,257,1.0
29867,56,1.0
74702,60,0.0
65821,429,1.0
90418,56,1.0
47885,2,1.0
31320,431,1.0
59340,1,1.0
97685,226,0.0
69169,18,0.0
17197,79,1.0
5589,29,1.0
52582,218,1.0
35914,210,0.0
35042,35,1.0
25158,76,1.0
94282,56,1.0
56176,292,1.0
46016,295,1.0
18299,160,1.0
40689,126,1.0
83386,72,1.0
30556,73,1.0
50840,93,1.0
6713,205,1.0
67733,6,1.0
80940,21,0.0
69345,72,1.0
59226,5,1.0
907,222,0.0
4866,36,1.0
58393,56,1.0
84538,8,0.0
49050,11,1.0
61177,35,1.0
19212,34,1.0
87128,429,1.0
69370,80,1.0
47186,74,1.0
75471,212,0.0
36179,73,1.0
8568,304,1.0
24368,2,1.0
61977,3,1.0
11373,179,0.0
3058,33,1.0
1160,122,1.0
85223,58,1.0
47823,27,0.0
28092,229,1.0
3792,2,1.0
22349,6,1.0
5163,2,1.0
13884,2,0.0
60528,232,1.0
75846,89,1.0
31025,3,1.0
17977,7,1.0
58593,421,1.0
44607,5,1.0
46450,29,1.0
86499,57,1.0
32772,6,1.0
97885,73,1.0
70375,20,1.0
87793,99,1.0
78404,73,1.0
56955,22,1.0
2304,173,1.0
88674,448,1.0
87474,299,1.0
6935,75,1.0
80389,93,0.0
4187,75,1.0
76297,279,1.0
711,27,1.0
12780,35,1.0
6755,202,1.0
14119,9,1.0
70166,113,1.0
2892,1,1.0
21787,56,1.0
30552,72,1.0
55347,56,1.0
58830,176,1.0
98082,199,1.0
74573,89,1.0
48208,126,1.0
98394,416,1.0
74912,52,0.0
75100,11,0.0
20443,3,1.0
60407,156,0.0
79837,49,0.0
81593,19,1.0
35700,104,1.0
33650,75,1.0
49620,162,1.0
39707,165,1.0
55920,206,1.0
39362,82,1.0
70146,273,1.0
85983,21,0.0
21267,72,1.0
38663,157,1.0
21458,29,1.0
60634,129,1.0
41266,35,1.0
85841,215,1.0
94635,235,1.0
29473,257,0.0
68065,298,1.0
96826,223,1.0
74767,210,1.0
758,60,1.0
67569,114,0.0
7618,27,0.0
5695,244,0.0
59075,225,1.0
1814,280,0.0
23482,89,1.0
33234,164,0.0
27296,4,1.0
99342,305,0.0
6254,523,1.0
94185,156,1.0
36668,116,0.0
99726,191,0.0
39338,94,0.0
29976,75,1.0
99979,435,1.0
91515,6,1.0
19717,79,1.0
90890,178,0.0
63718,209,0.0
40895,35,1.0
84376,56,1.0
37892,98,1.0
98120,33,1.0
71607,211,1.0
85704,234,1.0
15571,199,1.0
87465,160,1.0
50908,56,1.0
20744,226,0.0
75175,30,1.0
57747,176,1.0
71084,510,1.0
95096,179,1.0
83344,291,1.0
94905,236,1.0
94003,160,1.0
56779,72,1.0
32658,125,1.0
18807,75,1.0
65412,291,1.0
33648,7,1.0
76241,330,1.0
73109,87,0.0
46822,11,1.0
48036,76,0.0
40920,75,1.0
19156,18,1.0
16422,75,1.0
33958,179,1.0
96927,35,0.0
34158,10,1.0
24065,112,1.0
56847,278,0.0
518,81,1.0
82725,247,1.0
74118,8,1.0
16777,270,1.0
60513,35,1.0
52699,100,1.0
60133,6,1.0
57256,32,1.0
99139,22,0.0
83650,229,0.0
7472,111,1.0
23344,20,0.0
17839,231,1.0
88852,108,1.0
69513,113,1.0
30314,3,1.0
31130,60,0.0
32745,39,1.0
85432,6,1.0
9143,4,1.0
62980,94,0.0
331,118,1.0
1421,24,0.0
28735,382,0.0
53951,21,0.0
90447,280,1.0
46764,215,1.0
52064,2,1.0
84251,11,1.0
24597,12,1.0
62584,18,0.0
69797,576,0.0
81508,631,1.0
77713,373,1.0
70674,200,1.0
60101,232,1.0
16743,50,1.0
86009,72,1.0
16156,11,1.0
12212,18,1.0
53418,84,0.0
77485,90,0.0
41509,4,1.0
99579,56,1.0
71925,72,1.0
35575,244,0.0
22625,101,1.0
21843,6,1.0
94972,890,0.0
67142,82,1.0
63910,254,1.0
96348,232,0.0
73042,3,1.0
65536,72,1.0
25132,12,0.0
12613,24,0.0
91529,89,1.0
90703,56,1.0
49275,7,1.0
25464,448,1.0
97661,115,1.0
25468,323,0.0
88741,7,1.0
55911,33,1.0
17961,96,0.0
42549,17,1.0
7059,8,0.0
82891,154,1.0
33007,10,1.0
96295,84,1.0
30791,97,1.0
72171,114,1.0
28554,261,1.0
75386,84,1.0
28010,2,1.0
74296,215,1.0
36836,72,1.0
55427,635,1.0
92423,199,1.0
90192,159,1.0
85572,56,1.0
87937,210,1.0
13290,75,1.0
97933,74,0.0
8836,75,1.0
14531,3,1.0
92081,156,0.0
25077,89,1.0
217,157,0.0
40317,7,1.0
1008,3,1.0
84717,236,1.0
19548,280,1.0
45841,27,0.0
58329,248,0.0
23514,230,1.0
12482,5,1.0
43039,88,1.0
69965,497,1.0
67207,56,1.0
90450,115,1.0
66054,199,0.0
61009,205,1.0
72418,420,0.0
3024,345,1.0
60798,7,1.0
48610,75,1.0
85627,211,0.0
79823,201,1.0
32408,89,1.0
22245,60,0.0
88954,176,1.0
90477,155,1.0
20311,206,0.0
93089,21,0.0
79421,8,0.0
81391,18,0.0
65864,116,1.0
81194,5,1.0
57412,39,0.0
17011,73,1.0
